Isolate,Location,Latitude,Longitude,Publication,Sequence_Type,Lab_Isolate,Other_info
BK575_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK576_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK582_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK583_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK585_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK586_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK590_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK593_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK594_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK595_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK607_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK614_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK615_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK617_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK621_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK622_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK628_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK629_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK634_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK636_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK637_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK643_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK645_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK649_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK651_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK653_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK661_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK663_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK668_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK669_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK67_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK670_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK672_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK675_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK707_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK71_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK710_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK720_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK725_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK728_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK745_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK753_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK765_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK774_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK779_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK78_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
BK799_DayLab_454,Gabon_Bakoumba,#N/A,#N/A,DayLab_454,,field,
